wallet_address,amount_ui
F1VYzwbBbMSeD5NjR2TErcfHuRBtbJehUZSUavvSWFY,30500000.0
An5mRHwnUoVDycy7hdVHTpwfRdviijackuurBRsnm7YZ,24130892.248353
E9Zuou7Mr4vFUXu3MRupiNjKia3TdargBhZhDYPoZKac,16449675.679468
7qoF97mDoWJQEf59AxxhvdM1XByYu7UweNroAm8Awfte,15804299.135166
2MMk7Toe8AZWNjQLMnrsRDBFBcMdtBDCJwyKTFnuToMm,15182089.272257
Aw1rq9VSY5SJisufnfmDJ6jAwJNx768EXypU15k8iVoW,14772349.475235
EQ1jWWW5myAS7zUWxku9vQKxDQCjW8LW2NFrKoedZJLe,13682302.148532
3e5UE4T1Giis7npAPxLgAnBrrK2sz2o8xUdXnShSPnE7,13275121.168977
C4uaZKciHa7uferN7xGzgKcRxGaG9qZ6wH8XLqExUVqE,13070765.716288
GatQry3TzKcAoQkcyPgZjgg38EMQ3TrPpReLE54Hyaku,13059200.743458
DHMhgh9sEVuQHNboKsqHmQzJXmofCPN5b4y4ddsf3dK,13000000.0
4Ai8k3JXkGQwAHpJnL23EXm392uNfPoLo7rDzGNA8U8P,12877585.669716
4hwPamSooBr5JhxHdcEC21HoxN5HUwYR2hGucLPyZAi8,12616171.629578
5mZ4yd6TuZuo7ffuxD2zxzdnQYoFkfSKXFMs7dYGBqF1,12067467.218493
7WXrVYgi2FHrDH57opvDWbiLacQTXYtvg8goALdwn9Um,11964306.658777
A9LqDusdHbgHorwFbkv3HAgUu8aLiawsVpeA4awCpta,11898996.864273
4MtKw51UtCsF2bBjxcNwYoXJifXXTEt88kKZzdBXpLep,11717445.327717
F41vZ7VTu2R9F9ERvBUti3movLHdCTBV4zCxppFrXB5h,11626540.818473
CFLxmPqSQNRF4pP8VXhgTt8xAQLPpenChtjUyycHaZTQ,11467915.518917
32HFTnmj6PbipSzoox3aNSRey8gfdSFFphP3zTBBCMWG,11162865.404298
9SUMkTGNJfbLWEFpEfBhHk4b1CL5C9jFhXzyQd4R6yzc,11082914.99101
7ceKWWzpFdXtfSp2vwHLDkp87nmjG1y7oRbhU6NXoUsp,10132687.689329
FC1e8stprMkb5dWrZNcJsF7aFeWZzsqqTKjuBEb4ASsK,9592014.242143
ED3DpRTepEfsBqL4UPgfcMfVLSRhHNpYXx379NcR27eb,9551143.783365
JAA1R1gq4vyU9mW3G7suJMUFUq2ehX6ZBryKk8WRg4Xx,8917223.82182
7zCzieSUb78uQ4APjTTwNt4kKKLTa22UYVkFQooooM8V,8801213.032367
AEUrBireYLem4gFtYdSaKPhZicfJ6DZhmAuuaicLwsp5,8634904.497932
Eumtha657bKNHwxxVKixyxsbqgjaueeQrevWVtjgU925,8566025.210385
HdxkiXqeN6qpK2YbG51W23QSWj3Yygc1eEk2zwmKJExp,8564565.039512
63pVF4DUpccLgLXqwCoXxjK3q2KevdwzfbQNh1LtjY8o,8462621.876601
5bZ9XpdVNZYkphHCpLYkkED8pHfzQJPFw5uyznAZsUtF,8000212.876176
6ZXowW8p971tdqjd5VeyZegaWvTR1xB5Ug7wcwXFEVzc,7423819.892309
AHtr7UfC3p6u2fCpSikRR3PkEjzYZfYAQBt2Trtpi7xb,6864216.849025
Cv8LoZ3UZcQqbmFuuDgn9dBLiGcvP6UNy3CdteC1hfuC,6827000.0
eZ8k5CRHubmyCYjaKsB55Ew4Rdrc2bji9kPANXhZUfp,6749956.176847
32uw5MRrH9pqWiYLfHLjSEj4CY33o1bJWhetFxRzY9Mp,6591415.634615
BcVMMs1iSRMETapsBAuR1vNnkSYLJPBfWsdk7Lj1BxJe,5531346.428278
AEeJUPCiGR3yCoukTh1G58o4LYsUEyzrXtfmfMc2kJMX,5369217.680194
AQmCqcWawZ6MyLC2KgXfX2zGZEGZQDyCihZE1qmchg6k,5272824.034808
2nKUmHZ3WxQutV9n7GtLYKpMBHud4WMPAzZ4FgWEuHmc,5138491.921611
5ngYjzHLPxZ4zdpCyhj8MMP1HneVjf6JZ7TcAzGtR62z,5022491.275795
4dEVRNjVK6XZQiTNgoCBgZEm24mJhVMvco82x3TRfmmm,5000000.0
8QkgdCbZ3cNJbzu1b41arXpUFKmCmwbbyyjJKABcAYJ1,4942409.96316
5YAhFa8CXHtcmtnYqWLnUeBVuCMThviMb9WejXDiUjUG,4887570.063134
9P8pxq29iTZcny4ofFs51CsQMS8w1MyizkDuLajjq3jA,4838291.999177
8moZjopwrFLR7kTQ1QttcYccXaFW31jjhoqzLWrKaJ9m,4605938.968327
E8wRXPwsWmr8K74zH1HMtLMCsQ2zMdVFhMP3D2X6FEQ5,4591776.353124
8WUXaGAFmpquXbttszYhMZBXEXunrzXhDEFRaAtax6Bt,4574407.499663
4tVkkL9BT2fHQJtHVTHPZTXHQW7kHGFtE1gX5fxsZct8,4533428.992435
FSxnMCGC8zY39Hzr3ZGdNNGwqwyn1ochSrsNjzdwjHS6,4530647.693853
2HMmfWFeBd97Ry4uuKfHNiwvHsSW7D7nDvzagWRhVMZo,4478151.669665
HeRjzsFfZEYst7uX2E5xwnsg8RuM3AkazFTV9CCLKehw,4446303.109054
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4344055.013804
AAJuSR8Wj46zsQSebFXfqVee5Bv5RDmpody2851L7x3L,4230247.314558
AcWAURKHUXHF3zEqR6fje5bGJHdsfd1SyLQmbXqEtf8Y,4111768.388771
5VfnBRyKuTZ2Xmd5i37CnrJB6VummxGkCtfePDM8dhj1,4075009.772603
34FfD7MKrKsXjdkTPsdCCWEDjHCxDPEDYh61XEU6uimR,4017099.728556
8CYmXbMABjSszw6DPQFHLNp5BEGVB7LRqmuS4Vwkwgq9,3914480.497937
7QanCPVJQ2AbACmvSF5jifVSd1YaVrKiUfFKeHdyEE7h,3824152.090747
TaZj5wfXJ42uqAeEp4F2Ci8rq21Hqdv8VLnnAhXNuXC,3801276.095424
H1CVMdGNkwGhk1qsoMwFTXpCF3KmWXnw31PvonLSFya4,3791398.521936
CwFaMAUa6oE2TKU7JtpAz9dYh2qN4HDw9DLoFiGdGvqR,3721682.505922
HJHpNNXksc49uX7oJu8LgjJPa4RViuraN5LP6hsXuGjm,3627700.020024
J8smPmf2M8G7cG4YwPYepMZsEX6WLQQUuRtsn2BdbH7y,3618524.228879
xwUNeGcT3oB4UZmTNC4ZVzkNpirbQoYisogzpZoZbV5,3585074.914539
8jBjPbrDAPBDrAvhkbSizWEZcrEUcgXKWtVyZ49DBRTh,3438026.585106
EKRRVdXrKe4QwhpugAmi3EHBvpHad93Q1MNJR4H1FTLr,3196523.463344
3k8pbXtwJiJVEES5tbHSjeoq7G6fvFds7SZBuJcR5SXz,3188749.795474
3idPQzXX8YNhtDUECFq3x5QXcZUxGs7dJ8wBVPVHRmp3,3185688.421203
814g5NDkNMPcMFCugzG3jtqEn8cKBNc2VQLnavW4RzEL,3166411.749323
CxKFkAu8LngjYmcCjT2siKyAiMrKjbTB96NRXg8jqHH6,3013114.0
4M5quXHp4oKgMCkypJWq8CX3XHGyzp2vmYudxNjyw9EQ,2759273.004801
HMM6RoT2Xo3BNfD5FTNsgFfQZExNDy14PPWMP11ZzT3j,2740046.825398
3nznJk6ZwuLegfxHd33YrfiyMk96RwVGi842oWwfj5vn,2734313.636799
CYvZb9ccMHxaQ2axLMVodJT3mJgqZNtYTWQzuyu4e4yR,2701620.39644
61HxhwfqrSsRqwLrPUtQ9qZosjNBkQtWHpJBUSKEYy3C,2697663.061259
CujignoJ33uJey8CnnuPrcQqQtrT7NCqYNWXbN3bJija,2682293.958101
EURndS4ksjQf6UVfzGvLovE1gaCkpzQHm7uAyvB5BKXt,2663921.284284
FJCoU85RF8MYutSrUubAeWww42XfwxAS9GnnYt2Nqogi,2492506.951201
G2XFkNNibMTQYqN5udfAk2o1gGssK3hhuSdMeg2QNcmF,2485436.525998
Ffo28Xsmekn8d5jmRTYgBLz9pSKW5WSLYA7arQDpxHt3,2460370.758276
5xEbHcicRZXD35Y56iSC4M1rAWuL64XX2k4WDagQPmfT,2441853.946762
6UJ4x11Y1XcidNiuqcLaSGdQNoghnrmCx2xPmRTASXYm,2340148.231489
51RfjWd1LbJyqon5Vnk1EWMaV9A5CufqZ8p3CPVh6xe2,2327730.00095
EdG12mWYNK5EwGFqJHD5Mw1BUehjVaJKwiM2KTnZnt3k,2297147.776126
F9EkZ2uNLubb7kGyR3mb2s9cXLi5FrQpWRfVu2vkpdBr,2295370.716158
C1rKVZ2q9NTYvL2SFo9HbLUTZe34EcV3FytsvjwmWhg2,2222285.368138
BED2zbvozbiTRRNaUCbuuKaEDMVKgXdSKaddV5uNhVnQ,2216886.946669
J5HV8JixZcCXhHbiSGsax3KJA9L7PHCLzsDuUBCXtRmu,2202619.125943
H1AegZFaXGfHSduNB87wgwSJu4SrNYsJARd4cEVhBx1u,2115641.761492
